runner_id,gender,age,segment_name,segment_distance_miles,elevation_gain_feet,elevation_loss_feet,mean_grade,cumulative_miles_completed,elapsed_hours_at_segment_start,velocity_mph
M5,M,29,Start_to_Lyon Ridge,10.3,3119.632645759996,2420.8301299599966,-0.0045734890175560495,0.0,0.0,6.583806818181818
M5,M,29,Lyon Ridge_to_Red Star Ridge,5.5,1428.9961087199954,1068.8681444399945,0.009060059742034849,10.3,1.5644444444444445,6.942496493688638
M5,M,29,Red Star Ridge_to_Robinson Flat,14.5,2667.040767760004,3404.511263800005,-0.019540777186332042,15.8,2.356666666666667,7.403205219117858
M5,M,29,Robinson Flat_to_Dusty Corners,7.699999999999999,673.2644572400015,1657.1883732400017,-0.01889194530219063,30.3,4.315277777777777,8.568778979907254
M5,M,29,Dusty Corners_to_Devil's Thumb,9.799999999999997,1734.1864071999964,3369.6096878799963,-0.0013904429802586353,38.0,5.2138888888888895,7.393126571668065
M5,M,29,Devil's Thumb_to_Michigan Bluff,7.900000000000006,2262.89705404,2948.82883452,-0.013860776276281794,47.8,6.539444444444444,6.810344827586211
M5,M,29,Michigan Bluff_to_Foresthill,6.299999999999997,1531.1450621200022,1449.0846920400024,-0.018318636156226434,55.7,7.6994444444444445,7.411764705882345
M5,M,29,Foresthill_to_Rucky Chucky,16.0,2334.314379159998,4858.340050479998,-0.031168987128378137,62.0,8.549444444444445,7.578947368421054
M5,M,29,Rucky Chucky_to_Green Gate,1.7999999999999972,690.0164262800002,118.74016128000021,0.06353791274564467,78.0,10.660555555555556,5.576592082616188
M5,M,29,Green Gate_to_Auburn Lake Trails,5.400000000000006,1046.6142067200008,886.0597396400007,0.004705208642353355,79.8,10.983333333333333,6.445623342175063
M5,M,29,Auburn Lake Trails_to_Pointed Rocks,9.099999999999994,1617.2408653999992,1695.8071408799995,-0.008060583729981825,85.2,11.821111111111112,6.153268219383917
M5,M,29,Pointed Rocks_to_Finish,5.900000000000006,1250.07549932,1342.8314077999999,5.891218507828883e-05,94.3,13.3,6.62714508580344
M10,M,29,Start_to_Lyon Ridge,10.3,3119.632645759996,2420.8301299599966,-0.0045734890175560495,0.0,0.0,6.577967003725386
M10,M,29,Lyon Ridge_to_Red Star Ridge,5.5,1428.9961087199954,1068.8681444399945,0.009060059742034849,10.3,1.5658333333333334,6.944931602946336
M10,M,29,Red Star Ridge_to_Robinson Flat,14.5,2667.040767760004,3404.511263800005,-0.019540777186332042,15.8,2.3577777777777778,7.400056705415367
M10,M,29,Robinson Flat_to_Dusty Corners,7.699999999999999,673.2644572400015,1657.1883732400017,-0.01889194530219063,30.3,4.317222222222222,8.560840024706605
M10,M,29,Dusty Corners_to_Devil's Thumb,9.799999999999997,1734.1864071999964,3369.6096878799963,-0.0013904429802586353,38.0,5.216666666666667,7.407096367835396
M10,M,29,Devil's Thumb_to_Michigan Bluff,7.900000000000006,2262.89705404,2948.82883452,-0.013860776276281794,47.8,6.539722222222222,6.609342319312111
M10,M,29,Michigan Bluff_to_Foresthill,6.299999999999997,1531.1450621200022,1449.0846920400024,-0.018318636156226434,55.7,7.735,7.181760607979736
M10,M,29,Foresthill_to_Rucky Chucky,16.0,2334.314379159998,4858.340050479998,-0.031168987128378137,62.0,8.612222222222222,7.598944591029022
M10,M,29,Rucky Chucky_to_Green Gate,1.7999999999999972,690.0164262800002,118.74016128000021,0.06353791274564467,78.0,10.717777777777778,5.159235668789808
M10,M,29,Green Gate_to_Auburn Lake Trails,5.400000000000006,1046.6142067200008,886.0597396400007,0.004705208642353355,79.8,11.066666666666666,6.480000000000002
M10,M,29,Auburn Lake Trails_to_Pointed Rocks,9.099999999999994,1617.2408653999992,1695.8071408799995,-0.008060583729981825,85.2,11.9,6.066666666666663
M10,M,29,Pointed Rocks_to_Finish,5.900000000000006,1250.07549932,1342.8314077999999,5.891218507828883e-05,94.3,13.4,6.5983224603914294
33,M,37,Start_to_Lyon Ridge,10.3,3119.632645759996,2420.8301299599966,-0.0045734890175560495,0.0,0.0,6.572137539879476
33,M,37,Lyon Ridge_to_Red Star Ridge,5.5,1428.9961087199954,1068.8681444399945,0.009060059742034849,10.3,1.5672222222222223,6.920657112897588
33,M,37,Red Star Ridge_to_Robinson Flat,14.5,2667.040767760004,3404.511263800005,-0.019540777186332042,15.8,2.3619444444444446,7.414772727272728
33,M,37,Robinson Flat_to_Dusty Corners,7.699999999999999,673.2644572400015,1657.1883732400017,-0.01889194530219063,30.3,4.3175,8.326824872334036
33,M,37,Dusty Corners_to_Devil's Thumb,9.799999999999997,1734.1864071999964,3369.6096878799963,-0.0013904429802586353,38.0,5.242222222222222,7.223587223587223
33,M,37,Devil's Thumb_to_Michigan Bluff,7.900000000000006,2262.89705404,2948.82883452,-0.013860776276281794,47.8,6.598888888888888,6.418415707515235
33,M,37,Michigan Bluff_to_Foresthill,6.299999999999997,1531.1450621200022,1449.0846920400024,-0.018318636156226434,55.7,7.829722222222222,6.758045292014305
33,M,37,Foresthill_to_Rucky Chucky,16.0,2334.314379159998,4858.340050479998,-0.031168987128378137,62.0,8.761944444444444,7.3865093613747135
33,M,37,Rucky Chucky_to_Green Gate,1.7999999999999972,690.0164262800002,118.74016128000021,0.06353791274564467,78.0,10.928055555555554,5.0664581704456335
33,M,37,Green Gate_to_Auburn Lake Trails,5.400000000000006,1046.6142067200008,886.0597396400007,0.004705208642353355,79.8,11.283333333333333,6.750000000000001
33,M,37,Auburn Lake Trails_to_Pointed Rocks,9.099999999999994,1617.2408653999992,1695.8071408799995,-0.008060583729981825,85.2,12.083333333333334,6.423529411764704
33,M,37,Pointed Rocks_to_Finish,5.900000000000006,1250.07549932,1342.8314077999999,5.891218507828883e-05,94.3,13.5,7.17083051991899
20,M,31,Start_to_Lyon Ridge,10.3,3119.632645759996,2420.8301299599966,-0.0045734890175560495,0.0,0.0,6.583806818181818
20,M,31,Lyon Ridge_to_Red Star Ridge,5.5,1428.9961087199954,1068.8681444399945,0.009060059742034849,10.3,1.5644444444444445,6.949806949806949
20,M,31,Red Star Ridge_to_Robinson Flat,14.5,2667.040767760004,3404.511263800005,-0.019540777186332042,15.8,2.3558333333333334,7.302742025741466
20,M,31,Robinson Flat_to_Dusty Corners,7.699999999999999,673.2644572400015,1657.1883732400017,-0.01889194530219063,30.3,4.341388888888889,8.435788192331104
20,M,31,Dusty Corners_to_Devil's Thumb,9.799999999999997,1734.1864071999964,3369.6096878799963,-0.0013904429802586353,38.0,5.254166666666666,6.906812842599838
20,M,31,Devil's Thumb_to_Michigan Bluff,7.900000000000006,2262.89705404,2948.82883452,-0.013860776276281794,47.8,6.673055555555556,6.624737945492673
20,M,31,Michigan Bluff_to_Foresthill,6.299999999999997,1531.1450621200022,1449.0846920400024,-0.018318636156226434,55.7,7.865555555555555,7.032558139534883
20,M,31,Foresthill_to_Rucky Chucky,16.0,2334.314379159998,4858.340050479998,-0.031168987128378137,62.0,8.761388888888888,7.38366876041533
20,M,31,Rucky Chucky_to_Green Gate,1.7999999999999972,690.0164262800002,118.74016128000021,0.06353791274564467,78.0,10.928333333333333,5.070422535211254
20,M,31,Green Gate_to_Auburn Lake Trails,5.400000000000006,1046.6142067200008,886.0597396400007,0.004705208642353355,79.8,11.283333333333333,6.893617021276604
20,M,31,Auburn Lake Trails_to_Pointed Rocks,9.099999999999994,1617.2408653999992,1695.8071408799995,-0.008060583729981825,85.2,12.066666666666666,6.13483146067415
20,M,31,Pointed Rocks_to_Finish,5.900000000000006,1250.07549932,1342.8314077999999,5.891218507828883e-05,94.3,13.55,6.190614981055099
M4,M,34,Start_to_Lyon Ridge,10.3,3119.632645759996,2420.8301299599966,-0.0045734890175560495,0.0,0.0,6.472333740617909
M4,M,34,Lyon Ridge_to_Red Star Ridge,5.5,1428.9961087199954,1068.8681444399945,0.009060059742034849,10.3,1.591388888888889,6.971830985915494
M4,M,34,Red Star Ridge_to_Robinson Flat,14.5,2667.040767760004,3404.511263800005,-0.019540777186332042,15.8,2.3802777777777777,7.405305717122998
M4,M,34,Robinson Flat_to_Dusty Corners,7.699999999999999,673.2644572400015,1657.1883732400017,-0.01889194530219063,30.3,4.338333333333333,8.495249770150163
M4,M,34,Dusty Corners_to_Devil's Thumb,9.799999999999997,1734.1864071999964,3369.6096878799963,-0.0013904429802586353,38.0,5.244722222222222,7.019498607242339
M4,M,34,Devil's Thumb_to_Michigan Bluff,7.900000000000006,2262.89705404,2948.82883452,-0.013860776276281794,47.8,6.640833333333333,6.2245567957977705
M4,M,34,Michigan Bluff_to_Foresthill,6.299999999999997,1531.1450621200022,1449.0846920400024,-0.018318636156226434,55.7,7.91,6.780269058295958
M4,M,34,Foresthill_to_Rucky Chucky,16.0,2334.314379159998,4858.340050479998,-0.031168987128378137,62.0,8.839166666666667,7.031250000000004
