lat,lon,ele,dist_delta_meters,cumulative_dist_meters,cumulative_dist_miles,ele_delta_meters,raw_grade,smoothed_grade
39.195617048,-120.236340983,1899.5,0.0,0.0,0.0,0.0,0.0,0.008680142317890596
39.1955847,-120.2363437,1899.479,3.6086449425143012,3.6086449425143012,0.0022423073165750537,-0.020999999999958163,-0.005819358882485829,0.016725598570581986
39.1954558,-120.2363276,1899.387,14.416444952385275,18.025089894899576,0.011200268133083644,-0.09200000000009823,-0.006381601032983957,0.021948194262944327
39.1952271,-120.2362525,1900.621,26.29922812364766,44.32431801854723,0.02754184581150271,1.234000000000151,0.04692152918703217,0.02722527433974159
39.195178882,-120.236250263,1900.884,5.377506741128432,49.70182475967566,0.030883272552744426,0.26299999999991996,0.04890742358134753,0.041775194468431406
39.1951649,-120.236251231,1900.959,1.5605112349123635,51.26233599458802,0.031852928979293156,0.07500000000004547,0.04806117272475605,0.059128865701922786
39.1949216,-120.2363383,1902.617,28.155259198048345,79.41759519263637,0.049347790542443655,1.6579999999999018,0.05888775480052517,0.0804991569365159
39.1948259,-120.2364188,1903.919,12.783575329273514,92.20117052190989,0.05729113352836967,1.3020000000001346,0.1018494409008287,0.09177058314874632
39.1947511,-120.2365475,1905.535,13.972429038181499,106.17359956009139,0.06597319573225355,1.6159999999999854,0.11565633975195387,0.1044749087990463
39.1946617,-120.2367889,1908.875,23.32232242118436,129.49592198127576,0.0804650105374273,3.339999999999918,0.1432104376091678,0.11519246825846934
39.1944559,-120.237143,1913.718,38.49103302867055,167.9869550099463,0.10438222222148535,4.843000000000075,0.12582151267264516,0.12031026761201748
39.1943395,-120.2373709,1916.995,23.774336959367307,191.76129196931362,0.11915490575226437,3.2769999999998163,0.13783770313344734,0.1285260307681941
39.1943,-120.2375265,1918.747,14.234171248925765,205.9954632182394,0.12799960697538063,1.75200000000018,0.1230840889407173,0.13434631131396385
39.1943561,-120.2382561,1924.765,63.53975994158715,269.53522315982656,0.16748137115004458,6.018000000000029,0.09471235027536219,0.1327816689837189
39.1943229,-120.2383634,1926.374,10.096650295136548,279.6318734549631,0.17375513684058388,1.6089999999999236,0.15935978299406509,0.1352576446463364
39.1942397,-120.2384948,1928.692,14.821132627744847,294.453006082708,0.18296455884261834,2.3179999999999836,0.15639830357234213,0.13704333983249087
39.1938947,-120.2387845,1934.806,46.227847946380905,340.6808540290889,0.211689202948909,6.114000000000033,0.13225794129745308,0.13466972428631543
39.19372,-120.2389695,1938.445,25.420293660311525,366.1011476894004,0.22748463624091042,3.6389999999998963,0.14315334231096763,0.13311605572647414
39.1936182,-120.2391305,1941.171,18.132526754405255,384.2336744438057,0.23875166252282198,2.7260000000001128,0.15033756943652862,0.12198599596135289
39.1935184,-120.2393316,1943.377,20.71968888500049,404.9533633288062,0.25162627632498363,2.2059999999999036,0.10646878011748927,0.10985830848347151
39.1934394,-120.2394443,1944.48,13.156533952387578,418.10989728119375,0.25980136498351264,1.1030000000000655,0.08383667035647324,0.09988740206250303
39.1933105,-120.2394872,1945.691,14.868133169350807,432.97803045054457,0.26903999175908533,1.2110000000000127,0.08144936463821631,0.09151289875284788
39.1932128,-120.2394523,1946.5,11.313974634540727,444.2920050850853,0.2760701674917245,0.8089999999999691,0.07150449122717245,0.08482428303291718
39.1931505,-120.2393585,1947.167,10.678561531716626,454.97056661680193,0.28270551594924886,0.6669999999999163,0.06246159635067375,0.07930601238180768
39.1930923,-120.2392163,1948.344,13.923750984274038,468.89431760107595,0.29135733102209815,1.1770000000001346,0.0845318191433816,0.07703275908827642
39.1930839,-120.2390688,1949.672,12.82877857987696,481.7230961809529,0.2993287619970549,1.3279999999999745,0.10351725939701356,0.09339992859252541
39.19319,-120.2385297,1952.935,48.097839128697466,529.8209353096504,0.3292153643942928,3.26299999999992,0.06784088555972276,0.10839442985728878
